gpu,gpu_name,detected_gpu_name,model,resolved_model,dtype,cache_mode,batch_size,seq_len,chunk_size,status,success,error_type,error_message,elapsed_sec,latency_sec,throughput_tokens_per_sec,peak_memory_allocated_mib,peak_vram_used_mib,avg_gpu_util_percent,max_gpu_util_percent,avg_memory_util_percent,max_memory_util_percent,avg_power_draw_w,max_power_draw_w,kv_actual_over_theory,kv_theory_mb,kv_actual_mb,quant_backend,measurement,source_csv,result_label,status_norm
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,8,1024,128,OK,True,,,0.773763,0.773763,10587.214804,3268.911133,3841.0,,,,,,,1.0,224.0,224.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,8,2048,128,OK,True,,,1.731432,1.731432,9462.685199,3544.473633,4449.0,,,,,,,1.0,448.0,448.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,8,4096,128,OK,True,,,4.173979,4.173979,7850.542316,4095.598633,6817.0,,,,,,,1.0,896.0,896.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,8,8192,128,OK,True,,,11.237725,11.237725,5831.78558,5194.348633,7665.0,,,,,,,1.0,1792.0,1792.0,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,8,12288,128,OOM,False,CUDA_OOM,"CUDA out of memory. Tried to allocate 288.00 MiB. GPU 0 has a total capacity of 7.52 GiB of which 287.69 MiB is free. Including non-PyTorch memory, this process has 7.15 GiB memory in use. Of the allocated memory 5.81 GiB is allocated by PyTorch, and 1.20 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",0.0,0.0,,6261.71582,7699.0,,,,,,,,2688.0,,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OOM
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,8,16384,128,OOM,False,CUDA_OOM,"CUDA out of memory. Tried to allocate 288.00 MiB. GPU 0 has a total capacity of 7.52 GiB of which 287.69 MiB is free. Including non-PyTorch memory, this process has 7.15 GiB memory in use. Of the allocated memory 5.81 GiB is allocated by PyTorch, and 1.20 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",0.0,0.0,,6261.71582,7699.0,,,,,,,,3584.0,,,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OOM
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,quantized,8,12288,128,OK,True,,,115.560419,115.560419,850.671887,4489.794434,5903.0,,,,,,,0.288737,2688.0,776.125,hqq,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,quantized,8,16384,128,OK,True,,,202.343421,202.343421,647.77001,4986.294434,6795.0,,,,,,,0.286865,3584.0,1028.125,hqq,chunked_cache_growth,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,no_cache,8,12288,128,OK,True,,,8.339348,8.339348,11787.971625,3043.356445,3475.0,,,,,,,,2688.0,,,chunked_no_cache_lower_bound,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,no_cache,8,16384,128,OK,True,,,11.137239,11.137239,11768.805474,3043.356445,3475.0,,,,,,,,3584.0,,,chunked_no_cache_lower_bound,results/rtx5060_qwen25_15b_combined.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,quantized,1,1024,128,OK,True,,,0.545979,0.545979,1875.529448,2996.990234,3423.0,,,,,,,0.371094,28.0,10.390625,hqq,chunked_cache_growth,results/rtx5060_qwen25_15b_sanity.csv,verified from existing file,OK
RTX 5060,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,quantized,1,2048,128,OK,True,,,1.069131,1.069131,1915.574046,3012.248047,3441.0,,,,,,,0.326172,56.0,18.265625,hqq,chunked_cache_growth,results/rtx5060_qwen25_15b_sanity.csv,verified from existing file,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,1024,128,OK,True,,,0.443558,0.443558,2308.606911,2990.724609,3635.0,3.75,5.0,0.0,0.0,21.075,24.34,1.0,28.0,28.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,2048,128,OK,True,,,0.210322,0.210322,9737.455149,3025.107422,3679.0,5.0,5.0,0.0,0.0,56.52,60.38,1.0,56.0,56.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,4096,128,OK,True,,,0.496553,0.496553,8248.869787,3094.123047,3701.0,5.0,5.0,0.0,0.0,88.345,100.61,1.0,112.0,112.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,8192,128,OK,True,,,1.305668,1.305668,6274.182226,3231.529297,4035.0,5.0,5.0,0.0,0.0,117.338182,138.47,1.0,224.0,224.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,12288,128,OK,True,,,2.396964,2.396964,5126.485555,3370.185547,4407.0,5.0,5.0,0.0,0.0,130.48,146.61,1.0,336.0,336.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,16384,128,OK,True,,,3.822897,3.822897,4285.755132,3506.529297,4923.0,5.0,5.0,0.0,0.0,138.320333,150.77,1.0,448.0,448.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,1024,128,OK,True,,,0.133834,0.133834,15302.551886,3026.983398,3717.0,5.0,5.0,0.0,0.0,121.26,121.83,1.0,56.0,56.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,2048,128,OK,True,,,0.266873,0.266873,15348.152972,3096.249023,3717.0,5.0,5.0,0.0,0.0,91.015,92.28,1.0,112.0,112.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,4096,128,OK,True,,,0.622849,0.622849,13152.462928,3233.530273,4051.0,91.0,91.0,33.0,33.0,112.49,137.63,1.0,224.0,224.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,8192,128,OK,True,,,1.605094,1.605094,10207.502578,3508.467773,4939.0,91.0,91.0,33.0,33.0,154.186154,185.23,1.0,448.0,448.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,12288,128,OK,True,,,2.928707,2.928707,8391.415408,3783.405273,6403.0,91.0,91.0,33.0,33.0,180.647391,207.66,1.0,672.0,672.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,16384,128,OK,True,,,4.612964,4.612964,7103.458111,4058.592773,8443.0,91.0,91.0,33.0,33.0,190.310833,208.18,1.0,896.0,896.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,1024,128,OK,True,,,0.192349,0.192349,21294.680051,3100.750977,3711.0,91.0,91.0,33.0,33.0,168.71,171.83,1.0,112.0,112.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,2048,128,OK,True,,,0.430478,0.430478,19030.002004,3239.032227,4033.0,91.0,91.0,33.0,33.0,129.4375,141.03,1.0,224.0,224.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,4096,128,OK,True,,,1.035791,1.035791,15817.858105,3514.344727,4921.0,91.0,91.0,33.0,33.0,158.5825,183.41,1.0,448.0,448.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,8192,128,OK,True,,,2.768994,2.768994,11833.898828,4064.219727,8425.0,91.0,91.0,33.0,33.0,204.365909,227.59,1.0,896.0,896.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,12288,128,OK,True,,,5.23293,5.23293,9392.826628,4613.844727,14233.0,91.0,91.0,33.0,33.0,212.218049,228.07,1.0,1344.0,1344.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,16384,128,OK,True,,,8.46942,8.46942,7737.956242,5163.719727,15733.0,91.0,91.0,33.0,33.0,214.318333,228.86,1.0,1792.0,1792.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,8,1024,128,OK,True,,,0.321079,0.321079,25513.943939,3247.411133,4041.0,91.0,91.0,33.0,33.0,177.26,180.09,1.0,224.0,224.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,8,2048,128,OK,True,,,0.709279,0.709279,23099.501747,3522.473633,4649.0,91.0,91.0,33.0,33.0,165.525,195.33,1.0,448.0,448.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,8,4096,128,OK,True,,,1.686277,1.686277,19432.152879,4073.223633,7017.0,91.0,91.0,33.0,33.0,218.734615,264.86,1.0,896.0,896.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,8,8192,128,OK,True,,,4.575514,4.575514,14323.198881,5171.473633,15787.0,49.514286,91.0,15.085714,33.0,246.721143,264.95,1.0,1792.0,1792.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,8,12288,128,OK,True,,,8.654145,8.654145,11359.180483,6273.223633,15787.0,47.0,47.0,14.0,14.0,249.666119,266.22,1.0,2688.0,2688.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,8,16384,128,OK,True,,,13.957658,13.957658,9390.687238,7371.473633,15787.0,47.0,47.0,14.0,14.0,250.810841,267.64,1.0,3584.0,3584.0,,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_dynamic_grid_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,quantized,1,1024,128,OK,True,,,0.64142,0.64142,1596.45715,2974.115234,3621.0,0.8,1.0,0.0,0.0,29.524,40.93,1.0,28.0,28.0,quanto,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_quantized_matched_quanto_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,quantized,1,2048,128,OK,True,,,0.274598,0.274598,7458.162757,2989.373047,3657.0,1.0,1.0,0.0,0.0,63.97,71.26,1.0,56.0,56.0,quanto,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_quantized_matched_quanto_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,quantized,8,12288,128,OK,True,,,10.290836,10.290836,9552.577042,4456.098633,15807.0,2.240506,99.0,0.721519,57.0,245.965316,263.16,1.0,2688.0,2688.0,quanto,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_quantized_matched_quanto_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,quantized,8,16384,128,OK,True,,,17.155928,17.155928,7640.041608,4944.223633,15807.0,99.0,99.0,57.0,57.0,254.210455,267.01,1.0,3584.0,3584.0,quanto,chunked_cache_growth,results/two_gpu_arch/rtx5080_qwen25_15b_quantized_matched_quanto_telemetry_venv.csv,newly rerun,OK
RTX 5080,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,no_cache,8,12288,128,OK,True,,,3.462132,3.462132,28394.06204,3019.981445,3693.0,0.0,0.0,0.0,0.0,212.627407,286.76,,2688.0,,,chunked_no_cache_lower_bound,results/two_gpu_arch/rtx5080_qwen25_15b_no_cache_matched_telemetry_venv.csv,newly rerun,OK
