gpu_label,cache_mode,batch_size,seq_len,max_new_tokens,status,tokens_per_sec,peak_delta_bytes,peak_delta_gib
RTX 5060,quantized,2,2048,64,ok,91.7095581821248,305793536,0.284792423248291
RTX 5060,quantized,2,4096,64,ok,64.68043164051693,611584512,0.569582462310791
RTX 5060,quantized,2,8192,64,oom,,1556414464,1.44952392578125
RTX 5060,quantized,4,512,64,ok,225.53862954843515,156043776,0.14532709121704102
RTX 5060,quantized,4,1024,64,ok,184.06767231885644,305793536,0.284792423248291
RTX 5060,quantized,4,2048,64,ok,132.50529470328053,611584512,0.569582462310791
RTX 5060,quantized,4,4096,64,oom,,1554284544,1.447540283203125
RTX 5060,quantized,4,8192,64,oom,,3108569088,2.89508056640625
RTX 5060,quantized,8,512,64,ok,372.76706820073457,305793536,0.284792423248291
RTX 5060,quantized,8,1024,64,ok,270.8043071136583,611584512,0.569582462310791
RTX 5060,quantized,8,2048,64,oom,,1553219584,1.4465484619140625
RTX 5060,quantized,8,4096,64,oom,,3106439168,2.893096923828125
RTX 5060,quantized,8,8192,64,oom,,3106439168,2.893096923828125
RTX 5080,dynamic,1,512,64,ok,118.27855301913849,59394560,0.055315494537353516
RTX 5080,dynamic,1,1024,64,ok,116.26559296948264,98601472,0.09182977676391602
RTX 5080,dynamic,1,2048,64,ok,109.84040710607964,198248960,0.18463373184204102
RTX 5080,dynamic,1,4096,64,ok,95.83641309013188,390203904,0.363405704498291
RTX 5080,dynamic,1,8192,64,ok,74.5519754473019,780405248,0.726809024810791
RTX 5080,dynamic,2,512,64,ok,221.57864973092316,98601472,0.09182977676391602
RTX 5080,dynamic,2,1024,64,ok,209.41879347694623,198248960,0.18463373184204102
RTX 5080,dynamic,2,2048,64,ok,184.0561172731599,390203904,0.363405704498291
RTX 5080,dynamic,2,4096,64,ok,145.6235240144074,780405248,0.726809024810791
RTX 5080,dynamic,2,8192,64,ok,99.3791654657894,1560807936,1.453615665435791
RTX 5080,dynamic,4,512,64,ok,408.5611421040959,198248960,0.18463373184204102
RTX 5080,dynamic,4,1024,64,ok,365.84654289478,390203904,0.363405704498291
RTX 5080,dynamic,4,2048,64,ok,291.24339828704893,780405248,0.726809024810791
RTX 5080,dynamic,4,4096,64,ok,204.4501380541332,1560807936,1.453615665435791
RTX 5080,dynamic,4,8192,64,ok,124.95782917312025,3121613312,2.907228946685791
RTX 5080,dynamic,8,512,64,ok,740.651525034282,390203904,0.363405704498291
RTX 5080,dynamic,8,1024,64,ok,600.2276234277961,780405248,0.726809024810791
RTX 5080,dynamic,8,2048,64,ok,426.1945581705932,1560807936,1.453615665435791
RTX 5080,dynamic,8,4096,64,ok,268.72247407033683,3121613312,2.907228946685791
RTX 5080,dynamic,8,8192,64,oom,,6212878336,5.78619384765625
RTX 5080,no_cache,1,512,64,ok,41.5968549304631,39796736,0.0370635986328125
RTX 5080,no_cache,1,1024,64,ok,24.796895112223567,73629696,0.068572998046875
RTX 5080,no_cache,1,2048,64,ok,12.947382543990956,141844480,0.13210296630859375
RTX 5080,no_cache,1,4096,64,ok,6.634478005934631,282718720,0.2633023262023926
RTX 5080,no_cache,1,8192,64,ok,2.960827745447531,554037760,0.5159878730773926
RTX 5080,no_cache,2,512,64,ok,50.02828921907642,81369600,0.07578134536743164
RTX 5080,no_cache,2,1024,64,ok,26.71068806756172,151157248,0.1407761573791504
RTX 5080,no_cache,2,2048,64,ok,14.01186197951194,286431744,0.26676034927368164
RTX 5080,no_cache,2,4096,64,ok,6.513724541980868,557782528,0.5194754600524902
RTX 5080,no_cache,2,8192,64,ok,2.930566274585669,1103500800,1.0277152061462402
RTX 5080,no_cache,4,512,64,ok,53.76510214044016,160704000,0.14966726303100586
RTX 5080,no_cache,4,1024,64,ok,28.427074851082285,295949824,0.27562475204467773
RTX 5080,no_cache,4,2048,64,ok,13.707821587114587,567365120,0.5283999443054199
RTX 5080,no_cache,4,4096,64,ok,6.4101258652553055,1113083392,1.03663969039917
RTX 5080,no_cache,4,8192,64,ok,2.951665111403143,2204519936,2.05311918258667
RTX 5080,no_cache,8,512,64,ok,56.46448859249499,317761024,0.29593801498413086
RTX 5080,no_cache,8,1024,64,ok,27.842470894839664,589831680,0.549323558807373
RTX 5080,no_cache,8,2048,64,ok,13.41348519459408,1135023616,1.0570731163024902
RTX 5080,no_cache,8,4096,64,ok,6.449184122282088,2226460160,2.0735526084899902
RTX 5080,no_cache,8,8192,64,oom,,6212878336,5.78619384765625
RTX 5080,quantized,1,512,64,ok,68.4305946923582,48843264,0.045488834381103516
RTX 5080,quantized,1,1024,64,ok,79.97459609747123,77498880,0.07217645645141602
RTX 5080,quantized,1,2048,64,ok,74.53497828977828,156043776,0.14532709121704102
RTX 5080,quantized,1,4096,64,ok,72.87797468864598,305793536,0.284792423248291
RTX 5080,quantized,1,8192,64,ok,59.87343127122456,611584512,0.569582462310791
RTX 5080,quantized,2,512,64,ok,147.42888493608882,77498880,0.07217645645141602
RTX 5080,quantized,2,1024,64,ok,146.1584293918906,156043776,0.14532709121704102
RTX 5080,quantized,2,2048,64,ok,125.085217986387,305793536,0.284792423248291
RTX 5080,quantized,2,4096,64,ok,120.94474399443304,611584512,0.569582462310791
RTX 5080,quantized,2,8192,64,ok,87.02047268244023,1223166464,1.139162540435791
RTX 5080,quantized,4,512,64,ok,259.17746282959337,156043776,0.14532709121704102
RTX 5080,quantized,4,1024,64,ok,268.1078954162436,305793536,0.284792423248291
RTX 5080,quantized,4,2048,64,ok,246.56488831466467,611584512,0.569582462310791
RTX 5080,quantized,4,4096,64,ok,177.8075322645534,1223166464,1.139162540435791
RTX 5080,quantized,4,8192,64,ok,108.23782039461936,2446330368,2.278322696685791
RTX 5080,quantized,8,512,64,ok,396.0787608442024,305793536,0.284792423248291
RTX 5080,quantized,8,1024,64,ok,402.8190444943044,611584512,0.569582462310791
RTX 5080,quantized,8,2048,64,ok,369.7127222033911,1223166464,1.139162540435791
RTX 5080,quantized,8,4096,64,ok,230.62098215435824,2446330368,2.278322696685791
RTX 5080,quantized,8,8192,64,oom,,6212878336,5.78619384765625
